,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z
180,334,552634.388172,4182421.74956,552589.467993,4182376.49425,552540.375967,4182425.22274,552585.296147,4182470.47805,44.97,4,77.38
181,346,552557.75286,4182694.46004,552486.787844,4182683.60517,552480.9314,4182721.89235,552551.896415,4182732.74723,45.46,4,77.38
182,355,552501.003596,4182397.63119,552465.431208,4182380.46807,552437.760974,4182437.81758,552473.333363,4182454.9807,47.19,4,77.38
183,386,552296.651311,4182420.41909,552249.017524,4182412.70926,552242.968924,4182450.07944,552290.60271,4182457.78927,61.78,4,77.38
184,390,552495.047608,4182367.47067,552426.31691,4182341.71605,552393.474101,4182429.36282,552462.204799,4182455.11744,45.06,4,77.38
185,415,552597.513339,4182578.52883,552534.950299,4182569.93853,552521.2091,4182670.01556,552583.77214,4182678.60585,63.65,4,77.38
186,447,552423.958437,4182702.17544,552391.041124,4182696.53575,552381.197908,4182753.98792,552414.115222,4182759.6276,48.87,4,77.38
187,460,552740.600393,4182449.61409,552669.109412,4182377.79226,552580.105611,4182466.38605,552651.596592,4182538.20789,50.16,4,77.38
188,505,552468.428246,4182598.34367,552363.279017,4182580.86189,552353.212064,4182641.4125,552458.361293,4182658.89428,44.57,4,77.38
189,512,552754.595344,4182555.08627,552721.688166,4182521.51309,552697.611234,4182545.1124,552730.518412,4182578.68558,56.3,4,77.38
190,521,552603.701772,4182390.55856,552567.832396,4182354.8915,552518.685836,4182404.31684,552554.555211,4182439.9839,67.71,4,77.38
191,533,552447.865391,4182376.89195,552397.890591,4182368.75247,552387.040306,4182435.37108,552437.015105,4182443.51056,50.54,4,77.38
192,541,552312.265786,4182421.77897,552276.420348,4182415.74726,552266.79807,4182472.93085,552302.643508,4182478.96256,65.71,4,77.38
193,565,552293.466573,4182437.18359,552266.43386,4182434.03124,552261.869828,4182473.16969,552288.902541,4182476.32204,57.94,4,77.38
194,595,552282.691117,4182466.19467,552241.544595,4182459.28666,552233.518117,4182507.09518,552274.664639,4182514.00319,50.76,4,77.38
195,614,552264.81174,4182591.17246,552219.998412,4182583.59357,552213.900951,4182619.64735,552258.714279,4182627.22623,53.41,4,77.38
196,623,552346.947948,4182533.9185,552311.887809,4182527.92062,552302.027969,4182585.55552,552337.088107,4182591.55341,55.55,4,77.38
197,631,552410.503858,4182192.01356,552375.385692,4182156.1159,552322.453449,4182207.89875,552357.571615,4182243.79641,56.69,4,77.38
198,650,552364.79489,4182325.17476,552325.568156,4182318.49615,552317.055447,4182368.49548,552356.28218,4182375.17408,44.9,4,77.38
199,658,552495.289196,4182627.11925,552452.131535,4182620.03437,552445.702969,4182659.19403,552488.86063,4182666.27892,43.28,4,77.38
200,694,552356.881901,4182478.61074,552324.755964,4182473.0701,552319.290045,4182504.76281,552351.415982,4182510.30345,59.01,4,77.38
201,699,552473.094686,4182555.4166,552436.55047,4182549.18219,552425.918797,4182611.50181,552462.463012,4182617.73622,43.78,4,77.38
202,703,552535.3424,4182348.36581,552509.378782,4182322.39759,552473.951261,4182357.81883,552499.914879,4182383.78705,70.42,4,77.38
203,704,552446.489738,4182338.69761,552403.362577,4182331.61761,552394.030699,4182388.46188,552437.15786,4182395.54188,50.29,4,77.38
204,769,552317.467393,4182422.60093,552290.887413,4182418.22271,552281.457452,4182475.47168,552308.037432,4182479.8499,44.99,4,77.38
205,776,552417.216306,4182487.31001,552378.578255,4182480.9418,552374.204668,4182507.47781,552412.842719,4182513.84602,43.24,4,77.38
206,796,552378.042406,4182480.71445,552336.91015,4182474.00514,552327.369768,4182532.49361,552368.502025,4182539.20292,61.68,4,77.38
207,798,552332.284889,4182421.79935,552305.788351,4182417.32684,552295.571664,4182477.8537,552322.068202,4182482.32621,44.78,4,77.38
