index,x,y,connected
629,323.5,531,FALSE
630,320.5714286,535.0714286,TRUE
631,331.0384615,551.5769231,FALSE
632,360.3333333,525.0392157,FALSE
633,371,537.5,FALSE
634,401.8,531.8,FALSE
635,397.2,534.7,FALSE
636,390.7692308,540.7692308,FALSE
637,405.8292683,546.8292683,FALSE
638,383.5,550,FALSE
639,426.9059233,537.2961672,TRUE
640,408.625,545.21875,FALSE
641,444.661442,542.6645768,TRUE
642,455,544,FALSE
643,494.5,525.5,FALSE
644,474,529.5,FALSE
645,520,523.5,FALSE
646,495.5,525.5,FALSE
647,497.5,537.5,FALSE
648,521.5714286,543.4285714,FALSE
649,499,546.5,FALSE
650,524.5714286,523.2857143,FALSE
651,550.1538462,524.3076923,FALSE
652,542.8960674,545.2331461,TRUE
653,525.7567568,542.5135135,FALSE
654,554.0555556,524.1111111,FALSE
655,567.2162162,543.6254826,TRUE
656,591.2348624,539.5889908,TRUE
657,16,567,TRUE
658,45,567,TRUE
659,74,567,TRUE
660,102.846318,566.6435432,TRUE
661,132,567,TRUE
662,161,567,TRUE
663,190,567,TRUE
664,218.2024336,567.6615044,TRUE
665,243.5,552.7777778,TRUE
666,246.1444954,571.1582569,TRUE
667,284.4692875,567.6412776,TRUE
668,264.4833333,564.2333333,TRUE
669,298.2205882,565.2323529,TRUE
670,320.3333333,558.5,FALSE
671,320.5555556,575.2222222,FALSE
672,291,579.5,TRUE
673,329.1952381,557.8952381,FALSE
674,322,575,FALSE
675,338.6956522,581.1304348,FALSE
676,349.6666667,581.6666667,FALSE
677,373.8443114,573.7664671,FALSE
678,357.3483146,579.0786517,FALSE
679,383.5,552,FALSE
680,395,562,FALSE
681,401.2307692,565.7692308,FALSE
682,384.5742574,576.0940594,FALSE
683,432.7,555.16,TRUE
684,415.6179775,577.1348315,FALSE
685,434.2051282,579.6666667,FALSE
686,454.401662,562.9307479,TRUE
687,438.0740741,580.1481481,FALSE
688,446.5,582,FALSE
689,481.5,571,FALSE
690,469.3636364,576.9636364,TRUE
691,520.2962963,560.308642,FALSE
692,502.0833333,567.0833333,FALSE
693,502.049505,577.5643564,FALSE
694,541.0136054,556.0816327,TRUE
695,523.8846154,560.8076923,FALSE
696,549,580.5,TRUE
697,571.5396476,562.8744493,TRUE
698,563.0901639,579.6065574,TRUE
699,590.5928339,567.0732899,TRUE
700,16,590.5,TRUE
701,44.97576737,590.4846527,TRUE
702,74.15686275,590.380719,TRUE
703,102.3720508,591.2595281,TRUE
704,132.4957265,590.0444444,TRUE
705,161,590.5,TRUE
706,190.2262118,589.6642729,TRUE
707,219.1325696,590.3682488,TRUE
708,246.7300178,590.8312611,TRUE
709,274.016,589.2746667,TRUE
710,292,592.5,TRUE
711,285.7692308,595.2307692,FALSE
712,291,581.5,TRUE
713,301.4666667,589.0388889,TRUE
714,318.6119403,593.641791,FALSE
715,294.5,600,FALSE
716,341.3333333,586.0566038,FALSE
717,325.464,594.736,FALSE
718,365.3402647,590.1228733,FALSE
719,385.5601266,589.778481,FALSE
720,416,581.4166667,FALSE
721,434.6944444,583.3888889,FALSE
722,421.4482759,589,FALSE
723,434,600,FALSE
724,445.8810811,587.2486486,FALSE
725,464.5833333,581.9166667,TRUE
726,463.1578947,597.8947368,FALSE
727,443,600,FALSE
728,482.3127273,590.3563636,TRUE
729,468.952381,598.3333333,FALSE
730,504.8080808,588.9292929,FALSE
731,524,584.5,FALSE
732,494.2307692,596.3076923,TRUE
733,522.5217391,597.8695652,FALSE
734,549.4012346,590.1728395,TRUE
735,526,584.5,FALSE
736,526.1632653,597.2244898,FALSE
737,565.1738281,590.8125,TRUE
738,590.6202532,590.4683544,TRUE
